Year,ID,Activity,Educational Attainment,Percent
2004,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.7
2004,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),25.2
2004,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,29.4
2004,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.7
2005,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.4
2005,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),24.0
2005,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,27.7
2005,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,38.4
2006,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,14.2
2006,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.2
2006,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,28.8
2006,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.4
2007,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,13.2
2007,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.1
2007,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,24.0
2007,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,36.1
2008,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.3
2008,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),22.9
2008,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.7
2008,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,34.0
2009,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.8
2009,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.9
2009,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.5
2009,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,33.2
2010,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.6
2010,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.2
2010,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,20.5
2010,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.2
2011,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,9.1
2011,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),18.2
2011,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,19.0
2011,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.4
2012,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.5
2012,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.0
2012,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,22.3
2012,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,31.2
2013,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.3
2013,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),17.7
2013,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,21.7
2013,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,30.1
2014,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.3
2014,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.4
2014,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.3
2014,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,30.4
2015,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.1
2015,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),19.8
2015,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,22.3
2015,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,31.2
2016,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,9.0
2016,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),16.9
2016,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,20.6
2016,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.3
2017,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,8.5
2017,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),17.2
2017,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,18.3
2017,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,28.0
2018,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,8.0
2018,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),14.4
2018,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,18.3
2018,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,26.8
2019,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,8.8
2019,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),13.7
2019,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,16.9
2019,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,28.8
2021,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,7.0
2021,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),13.5
2021,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,17.4
2021,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,26.5
2022,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,3.3
2022,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),11.9
2022,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,14.8
2022,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,25.3
