Year,ID,Activity,Educational Attainment,Percent,Odds,Odds Ratio
2004,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.7,0.18624,1.0
2004,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),25.2,0.336898,1.0
2004,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,29.4,0.416431,1.0
2004,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.7,0.605136,1.0
2005,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.4,0.182033,0.977413
2005,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),24.0,0.315789,0.937343
2005,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,27.7,0.383126,0.920023
2005,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,38.4,0.623377,1.030142
2006,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,14.2,0.165501,0.888646
2006,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.2,0.302083,0.89666
2006,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,28.8,0.404494,0.971337
2006,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.4,0.597444,0.987288
2007,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,13.2,0.152074,0.816549
2007,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.1,0.30039,0.891634
2007,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,24.0,0.315789,0.758324
2007,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,36.1,0.564945,0.933583
2008,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.3,0.127396,0.684042
2008,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),22.9,0.297017,0.881621
2008,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.7,0.310616,0.745901
2008,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,34.0,0.515152,0.851298
2009,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.8,0.133787,0.718359
2009,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.9,0.31406,0.932211
2009,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.5,0.30719,0.737673
2009,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,33.2,0.497006,0.821312
2010,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.6,0.118568,0.636643
2010,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.2,0.253133,0.751363
2010,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,20.5,0.257862,0.619219
2010,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.2,0.412429,0.681548
2011,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,9.1,0.10011,0.537533
2011,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),18.2,0.222494,0.660418
2011,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,19.0,0.234568,0.563282
2011,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.4,0.416431,0.68816
