Year,ID,Activity,Percent
2003,TUU30105AA01005442,Socializing and communicating (except social events),38.2
2003,TUU30105AA01005514,Attending or hosting social events,3.4
2003,TUU30105AA01005658,Relaxing and thinking,23.7
2003,TUU30105AA01005910,Playing games,7.8
2003,TUU30105AA01006114,"Computer use for leisure, excluding games",8.2
2003,TUU30105AA01006315,Reading for personal interest,26.3
2003,TUU30105AA01006567,Arts and entertainment (other than sports),3.8
2003,TUU30105AA01014236,Watching TV,78.8
2004,TUU30105AA01005442,Socializing and communicating (except social events),38.0
2004,TUU30105AA01005514,Attending or hosting social events,3.5
2004,TUU30105AA01005658,Relaxing and thinking,21.0
2004,TUU30105AA01005910,Playing games,8.3
2004,TUU30105AA01006114,"Computer use for leisure, excluding games",9.5
2004,TUU30105AA01006315,Reading for personal interest,27.7
2004,TUU30105AA01006567,Arts and entertainment (other than sports),4.2
2004,TUU30105AA01014236,Watching TV,80.6
2005,TUU30105AA01005442,Socializing and communicating (except social events),38.7
2005,TUU30105AA01005514,Attending or hosting social events,2.9
2005,TUU30105AA01005658,Relaxing and thinking,22.5
2005,TUU30105AA01005910,Playing games,8.9
2005,TUU30105AA01006114,"Computer use for leisure, excluding games",9.2
2005,TUU30105AA01006315,Reading for personal interest,27.0
2005,TUU30105AA01006567,Arts and entertainment (other than sports),3.5
2005,TUU30105AA01014236,Watching TV,79.8
2006,TUU30105AA01005442,Socializing and communicating (except social events),38.9
2006,TUU30105AA01005514,Attending or hosting social events,3.1
2006,TUU30105AA01005658,Relaxing and thinking,21.6
2006,TUU30105AA01005910,Playing games,8.6
2006,TUU30105AA01006114,"Computer use for leisure, excluding games",9.6
2006,TUU30105AA01006315,Reading for personal interest,26.4
2006,TUU30105AA01006567,Arts and entertainment (other than sports),3.6
2006,TUU30105AA01014236,Watching TV,79.5
2007,TUU30105AA01005442,Socializing and communicating (except social events),36.7
2007,TUU30105AA01005514,Attending or hosting social events,2.9
2007,TUU30105AA01005658,Relaxing and thinking,20.4
2007,TUU30105AA01005910,Playing games,8.8
2007,TUU30105AA01006114,"Computer use for leisure, excluding games",9.8
2007,TUU30105AA01006315,Reading for personal interest,24.9
2007,TUU30105AA01006567,Arts and entertainment (other than sports),3.5
2007,TUU30105AA01014236,Watching TV,79.5
2008,TUU30105AA01005442,Socializing and communicating (except social events),37.6
2008,TUU30105AA01005514,Attending or hosting social events,2.3
2008,TUU30105AA01005658,Relaxing and thinking,19.9
2008,TUU30105AA01005910,Playing games,9.0
2008,TUU30105AA01006114,"Computer use for leisure, excluding games",9.5
2008,TUU30105AA01006315,Reading for personal interest,23.9
2008,TUU30105AA01006567,Arts and entertainment (other than sports),3.2
2008,TUU30105AA01014236,Watching TV,80.9
2009,TUU30105AA01005442,Socializing and communicating (except social events),37.7
2009,TUU30105AA01005514,Attending or hosting social events,2.4
2009,TUU30105AA01005658,Relaxing and thinking,19.2
2009,TUU30105AA01005910,Playing games,10.4
2009,TUU30105AA01006114,"Computer use for leisure, excluding games",10.9
2009,TUU30105AA01006315,Reading for personal interest,24.2
2009,TUU30105AA01006567,Arts and entertainment (other than sports),3.1
2009,TUU30105AA01014236,Watching TV,81.8
2010,TUU30105AA01005442,Socializing and communicating (except social events),35.6
2010,TUU30105AA01005514,Attending or hosting social events,2.6
2010,TUU30105AA01005658,Relaxing and thinking,19.1
2010,TUU30105AA01005910,Playing games,9.4
2010,TUU30105AA01006114,"Computer use for leisure, excluding games",12.0
2010,TUU30105AA01006315,Reading for personal interest,21.1
2010,TUU30105AA01006567,Arts and entertainment (other than sports),3.0
2010,TUU30105AA01014236,Watching TV,79.4
2011,TUU30105AA01005442,Socializing and communicating (except social events),34.1
2011,TUU30105AA01005514,Attending or hosting social events,2.6
2011,TUU30105AA01005658,Relaxing and thinking,18.8
2011,TUU30105AA01005910,Playing games,9.0
2011,TUU30105AA01006114,"Computer use for leisure, excluding games",13.7
2011,TUU30105AA01006315,Reading for personal interest,20.0
2011,TUU30105AA01006567,Arts and entertainment (other than sports),2.9
2011,TUU30105AA01014236,Watching TV,78.3
2012,TUU30105AA01005442,Socializing and communicating (except social events),35.3
2012,TUU30105AA01005514,Attending or hosting social events,3.0
