Year,ID,Activity,Educational Attainment,Percent
2004,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.708193
2004,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),25.1779474
2004,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,29.406313
2004,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.7272334
2005,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.3531919
2005,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),24.0249411
2005,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,27.6584535
2005,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,38.4019102
2006,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,14.2036071
2006,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.158912
2006,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,28.8431877
2006,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.3686352
2007,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,13.195269
2007,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.1321039
2007,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,24.0491476
2007,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,36.110746
2008,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.3103143
2008,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),22.8503611
2008,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.7334412
2008,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,33.9528889
2009,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.7676349
2009,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.8617154
2009,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.526002
2009,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,33.1824529
2010,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.5972456
2010,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.1861902
2010,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,20.5478762
2010,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.2305196
2011,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,9.1100261
2011,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),18.1866061
2011,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,19.0065601
2011,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.4048991
2012,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.5382833
2012,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),19.9823708
2012,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,22.3399292
2012,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,31.2005881
2013,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.2858915
2013,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),17.6686882
2013,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,21.6940193
2013,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,30.0894586
2014,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.2943459
2014,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.3976174
2014,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.2768601
2014,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,30.3825229
2015,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.1139905
2015,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),19.8231035
2015,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,22.2864092
2015,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,31.1906393
2016,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,9.0225908
2016,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),16.9020603
2016,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,20.6393474
2016,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.2560838
2017,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,8.5021851
2017,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),17.1969303
2017,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,18.2663734
2017,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,27.9938173
2018,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,7.9977909
2018,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),14.4389745
2018,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,18.2539683
2018,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,26.7869819
2019,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,8.7505506
2019,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),13.6647821
2019,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,16.8640636
2019,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,28.7858326
2021,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,7.0099742
2021,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),13.5367249
2021,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,17.4029451
2021,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,26.4926434
2022,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,3.3471744
2022,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),11.8667799
2022,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,14.7850351
2022,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,25.308498
