Year,ID,Activity,Educational Attainment,Percent,Odds,Odds Ratio
2004,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.708193,0.186355,1.0
2004,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),25.1779474,0.336504,1.0
2004,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,29.406313,0.416557,1.0
2004,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.7272334,0.605838,1.0
2005,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,15.3531919,0.181379,0.973301
2005,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),24.0249411,0.316221,0.939725
2005,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,27.6584535,0.382332,0.917837
2005,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,38.4019102,0.623427,1.029032
2006,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,14.2036071,0.16555,0.88836
2006,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.158912,0.301387,0.895641
2006,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,28.8431877,0.405347,0.973088
2006,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,37.3686352,0.596644,0.984824
2007,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,13.195269,0.152011,0.815707
2007,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.1321039,0.300933,0.894292
2007,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,24.0491476,0.316641,0.760138
2007,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,36.110746,0.565208,0.932936
2008,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.3103143,0.127527,0.684322
2008,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),22.8503611,0.296182,0.880174
2008,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.7334412,0.311191,0.747054
2008,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,33.9528889,0.514071,0.848528
2009,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.7676349,0.133371,0.715683
2009,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),23.8617154,0.3134,0.931339
2009,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.526002,0.307634,0.738516
2009,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,33.1824529,0.496613,0.819712
2010,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.5972456,0.118534,0.636065
2010,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.1861902,0.252916,0.751598
2010,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,20.5478762,0.25862,0.62085
2010,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.2305196,0.413038,0.681763
2011,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,9.1100261,0.100231,0.537852
2011,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),18.1866061,0.222294,0.660597
2011,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,19.0065601,0.234668,0.563351
2011,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,29.4048991,0.416529,0.687525
2012,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.5382833,0.117797,0.632109
2012,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),19.9823708,0.249725,0.742114
2012,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,22.3399292,0.287663,0.690573
2012,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,31.2005881,0.453501,0.748551
2013,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.2858915,0.127216,0.682657
2013,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),17.6686882,0.214605,0.637747
2013,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,21.6940193,0.277042,0.665075
2013,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,30.0894586,0.430399,0.71042
2014,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,11.2943459,0.127324,0.683233
2014,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),20.3976174,0.256244,0.761487
2014,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,23.2768601,0.303388,0.728322
2014,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,30.3825229,0.436421,0.720359
2015,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,10.1139905,0.11252,0.603795
2015,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),19.8231035,0.247242,0.734737
2015,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,22.2864092,0.286776,0.688444
2015,TUU30105AA01006315,Reading for personal interest,Bachelor's degree and higher,31.1906393,0.453291,0.748204
2016,TUU30105AA01006315,Reading for personal interest,Less than a high school diploma,9.0225908,0.099174,0.532178
2016,TUU30105AA01006315,Reading for personal interest,High school graduates (no college),16.9020603,0.203399,0.604448
2016,TUU30105AA01006315,Reading for personal interest,Some college or associate degree,20.6393474,0.26007,0.624333
