Year,ID,Activity,Percent,Odds,Odds Ratio
2003,TUU30105AA01005370,"Socializing, relaxing, and leisure",95.1,19.408163,1.0
2003,TUU30105AA01005910,Playing games,7.8,0.084599,1.0
2003,TUU30105AA01006114,"Computer use for leisure, excluding games",8.2,0.089325,1.0
2003,TUU30105AA01006315,Reading for personal interest,26.3,0.356852,1.0
2003,TUU30105AA01006567,Arts and entertainment (other than sports),3.8,0.039501,1.0
2003,TUU30105AA01014236,Watching TV,78.8,3.716981,1.0
2004,TUU30105AA01005370,"Socializing, relaxing, and leisure",95.5,21.222222,1.093469
2004,TUU30105AA01005910,Playing games,8.3,0.090513,1.069905
2004,TUU30105AA01006114,"Computer use for leisure, excluding games",9.5,0.104972,1.175179
2004,TUU30105AA01006315,Reading for personal interest,27.7,0.383126,1.073626
2004,TUU30105AA01006567,Arts and entertainment (other than sports),4.2,0.043841,1.109878
2004,TUU30105AA01014236,Watching TV,80.6,4.154639,1.117746
2005,TUU30105AA01005370,"Socializing, relaxing, and leisure",95.4,20.73913,1.068578
2005,TUU30105AA01005910,Playing games,8.9,0.097695,1.154803
2005,TUU30105AA01006114,"Computer use for leisure, excluding games",9.2,0.101322,1.134308
2005,TUU30105AA01006315,Reading for personal interest,27.0,0.369863,1.03646
2005,TUU30105AA01006567,Arts and entertainment (other than sports),3.5,0.036269,0.918189
2005,TUU30105AA01014236,Watching TV,79.8,3.950495,1.062824
2006,TUU30105AA01005370,"Socializing, relaxing, and leisure",95.4,20.73913,1.068578
2006,TUU30105AA01005910,Playing games,8.6,0.094092,1.112215
2006,TUU30105AA01006114,"Computer use for leisure, excluding games",9.6,0.106195,1.188863
2006,TUU30105AA01006315,Reading for personal interest,26.4,0.358696,1.005166
2006,TUU30105AA01006567,Arts and entertainment (other than sports),3.6,0.037344,0.945403
2006,TUU30105AA01014236,Watching TV,79.5,3.878049,1.043333
2007,TUU30105AA01005370,"Socializing, relaxing, and leisure",95.1,19.408163,1.0
2007,TUU30105AA01005910,Playing games,8.8,0.096491,1.140576
2007,TUU30105AA01006114,"Computer use for leisure, excluding games",9.8,0.108647,1.216321
