Year,Age,Read for Fun,Percent,Odds,Odds Ratio
1984,9,Almost every day,53.0,1.12766,1.0
1984,9,Once or twice a week,28.0,0.388889,1.0
1984,9,Once or twice a month,7.0,0.075269,1.0
1984,9,A few times a year,3.0,0.030928,1.0
1984,9,Never or hardly ever,9.0,0.098901,1.0
1984,13,Almost every day,35.0,0.538462,1.0
1984,13,Once or twice a week,35.0,0.538462,1.0
1984,13,Once or twice a month,14.0,0.162791,1.0
1984,13,A few times a year,7.0,0.075269,1.0
1984,13,Never or hardly ever,8.0,0.086957,1.0
1984,17,Almost every day,31.0,0.449275,1.0
1984,17,Once or twice a week,33.0,0.492537,1.0
1984,17,Once or twice a month,17.0,0.204819,1.0
1984,17,A few times a year,10.0,0.111111,1.0
1984,17,Never or hardly ever,9.0,0.098901,1.0
1988,9,Almost every day,54.0,1.173913,1.041017
1988,9,Once or twice a week,26.0,0.351351,0.903475
1988,9,Once or twice a month,7.0,0.075269,1.0
1988,9,A few times a year,4.0,0.041667,1.347222
1988,9,Never or hardly ever,9.0,0.098901,1.0
1988,13,Almost every day,36.0,0.5625,1.044643
1988,13,Once or twice a week,31.0,0.449275,0.834369
1988,13,Once or twice a month,15.0,0.176471,1.084034
1988,13,A few times a year,8.0,0.086957,1.15528
1988,13,Never or hardly ever,10.0,0.111111,1.277778
1988,17,Almost every day,28.0,0.388889,0.865591
1988,17,Once or twice a week,32.0,0.470588,0.955437
1988,17,Once or twice a month,21.0,0.265823,1.297841
1988,17,A few times a year,10.0,0.111111,1.0
1988,17,Never or hardly ever,9.0,0.098901,1.0
1990,9,Almost every day,54.0,1.173913,1.041017
1990,9,Once or twice a week,25.0,0.333333,0.857143
1990,9,Once or twice a month,6.0,0.06383,0.848024
1990,9,A few times a year,3.0,0.030928,1.0
1990,9,Never or hardly ever,12.0,0.136364,1.378788
1990,13,Almost every day,35.0,0.538462,1.0
1990,13,Once or twice a week,32.0,0.470588,0.87395
1990,13,Once or twice a month,13.0,0.149425,0.917898
1990,13,A few times a year,9.0,0.098901,1.313972
1990,13,Never or hardly ever,11.0,0.123596,1.421348
1990,17,Almost every day,31.0,0.449275,1.0
