Year,Age,Read for Fun,Percent,Assessment Format,Odds,Odds Ratio
2008,9,Weekly or more often,71.0,Revised,2.448276,1.0
2008,13,Weekly or more often,51.0,Revised,1.040816,1.0
2008,17,Weekly or more often,42.0,Revised,0.724138,1.0
2012,9,Weekly or more often,76.0,Revised,3.166667,1.293427
2012,13,Weekly or more often,53.0,Revised,1.12766,1.083438
2012,17,Weekly or more often,40.0,Revised,0.666667,0.920635
2020,9,Weekly or more often,67.0,Revised,2.030303,0.829279
2020,13,Weekly or more often,40.0,Revised,0.666667,0.640523
2022,9,Weekly or more often,64.0,Revised,1.777778,0.726135
2025,9,Weekly or more often,61.0,Revised,1.564103,0.638859
2025,13,Weekly or more often,35.0,Revised,0.538462,0.517345
