Year,Age,Read for Fun,Percent,Odds,Odds Ratio
1984,9,Weekly or more often,81.0,4.263158,1.0
1984,13,Weekly or more often,70.0,2.333333,1.0
1984,17,Weekly or more often,64.0,1.777778,1.0
1988,9,Weekly or more often,80.0,4.0,0.938272
1988,13,Weekly or more often,67.0,2.030303,0.87013
1988,17,Weekly or more often,60.0,1.5,0.84375
1990,9,Weekly or more often,79.0,3.761905,0.882422
1990,13,Weekly or more often,67.0,2.030303,0.87013
1990,17,Weekly or more often,62.0,1.631579,0.917763
1992,9,Weekly or more often,84.0,5.25,1.231481
1992,13,Weekly or more often,69.0,2.225806,0.953917
1992,17,Weekly or more often,60.0,1.5,0.84375
1994,9,Weekly or more often,83.0,4.882353,1.145243
1994,13,Weekly or more often,64.0,1.777778,0.761905
1994,17,Weekly or more often,61.0,1.564103,0.879808
1996,9,Weekly or more often,81.0,4.263158,1.0
1996,13,Weekly or more often,63.0,1.702703,0.72973
1996,17,Weekly or more often,55.0,1.222222,0.6875
1999,9,Weekly or more often,80.0,4.0,0.938272
1999,13,Weekly or more often,64.0,1.777778,0.761905
1999,17,Weekly or more often,53.0,1.12766,0.634309
2004,9,Weekly or more often,80.0,4.0,0.938272
2004,13,Weekly or more often,64.0,1.777778,0.761905
2004,17,Weekly or more often,52.0,1.083333,0.609375
2008,9,Weekly or more often,71.0,2.448276,0.574287
2008,13,Weekly or more often,51.0,1.040816,0.446064
2008,17,Weekly or more often,42.0,0.724138,0.407328
2012,9,Weekly or more often,76.0,3.166667,0.742798
2012,13,Weekly or more often,53.0,1.12766,0.483283
2012,17,Weekly or more often,40.0,0.666667,0.375
2020,9,Weekly or more often,67.0,2.030303,0.476244
2020,13,Weekly or more often,40.0,0.666667,0.285714
2022,9,Weekly or more often,64.0,1.777778,0.41701
2023,13,Weekly or more often,36.0,0.5625,0.241071
