 Data extracted on: June 25, 2026 (10:03:22 AM)

American Time Use


Series Id:        TUU10101AA01006315

Not seasonally adjusted
Series Title:     Avg hrs per day - Reading for personal interest
Type of estimate: Average hours per day
Activity:         Reading for personal interest
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,0.36,0.008
2004,Annual,0.38,0.008
2005,Annual,0.38,0.010
2006,Annual,0.36,0.011
2007,Annual,0.35,0.010
2008,Annual,0.34,0.010
2009,Annual,0.34,0.009
2010,Annual,0.30,0.010
2011,Annual,0.30,0.010
2012,Annual,0.33,0.010
2013,Annual,0.32,0.011
2014,Annual,0.32,0.010
2015,Annual,0.32,0.010
2016,Annual,0.29,0.009
2017,Annual,0.28,0.009
2018,Annual,0.26,0.010
2019,Annual,0.27,0.010
2020,Annual,-(M),-(M)
2021,Annual,0.28,0.012
2022,Annual,0.26,0.010
2023,Annual,0.26,0.011
2024,Annual,0.28,0.013
2025,Annual,0.27,0.013
