Year,Period,Estimate,Standard Error
2003,Annual,1.39,0.023
2004,Annual,1.38,0.021
2005,Annual,1.39,0.029
2006,Annual,1.38,0.033
2007,Annual,1.41,0.030
2008,Annual,1.44,0.032
2009,Annual,1.42,0.031
2010,Annual,1.43,0.038
2011,Annual,1.48,0.036
2012,Annual,1.58,0.034
2013,Annual,1.57,0.042
2014,Annual,1.50,0.040
2015,Annual,1.54,0.039
2016,Annual,1.48,0.038
2017,Annual,1.48,0.043
2018,Annual,1.51,0.043
2019,Annual,1.50,0.043
2020,Annual,-(M),-(M)
2021,Annual,1.55,0.045
2022,Annual,1.58,0.040
2023,Annual,1.61,0.046
2024,Annual,1.74,0.058

