 Data extracted on: June 25, 2026 (10:06:14 AM)

American Time Use


Series Id:        TUU20101AA01013585

Not seasonally adjusted
Series Title:     Avg hrs per day for participants - Leisure and sports (includes travel)
Type of estimate: Average hours per day for participants in an activity
Activity:         Leisure and sports (includes travel)
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,5.33,0.026
2004,Annual,5.39,0.033
2005,Annual,5.32,0.040
2006,Annual,5.28,0.038
2007,Annual,5.33,0.037
2008,Annual,5.39,0.041
2009,Annual,5.46,0.040
2010,Annual,5.41,0.042
2011,Annual,5.47,0.039
2012,Annual,5.58,0.037
2013,Annual,5.52,0.039
2014,Annual,5.54,0.046
2015,Annual,5.42,0.039
2016,Annual,5.35,0.040
2017,Annual,5.48,0.047
2018,Annual,5.51,0.042
2019,Annual,5.45,0.047
2020,Annual,-(M),-(M)
2021,Annual,5.48,0.039
2022,Annual,5.47,0.048
2023,Annual,5.48,0.053
2024,Annual,5.39,0.051
2025,Annual,5.43,0.060
