Year,Period,Estimate,Standard Error
2003,Annual,95.1,0.21
2004,Annual,95.5,0.20
2005,Annual,95.4,0.23
2006,Annual,95.4,0.25
2007,Annual,95.1,0.23
2008,Annual,95.4,0.26
2009,Annual,95.1,0.26
2010,Annual,94.8,0.25
2011,Annual,94.0,0.29
2012,Annual,95.2,0.27
2013,Annual,94.5,0.27
2014,Annual,94.9,0.30
2015,Annual,95.2,0.26
2016,Annual,94.8,0.31
2017,Annual,94.4,0.29
2018,Annual,94.2,0.33
2019,Annual,94.1,0.38
2020,Annual,-(M),-(M)
2021,Annual,95.2,0.29
2022,Annual,93.8,0.35
2023,Annual,92.6,0.37
2024,Annual,93.0,0.44

