 Data extracted on: June 25, 2026 (10:07:21 AM)

American Time Use


Series Id:        TUU30105AA01005442

Not seasonally adjusted
Series Title:     Percent participating on an avg day - Socializing and communicating (except social events)
Type of estimate: Percent of population engaged in activity on an average day
Activity:         Socializing and communicating (except social events)
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,38.2,0.39
2004,Annual,38.0,0.51
2005,Annual,38.7,0.50
2006,Annual,38.9,0.59
2007,Annual,36.7,0.57
2008,Annual,37.6,0.52
2009,Annual,37.7,0.51
2010,Annual,35.6,0.48
2011,Annual,34.1,0.59
2012,Annual,35.3,0.56
2013,Annual,35.5,0.60
2014,Annual,36.2,0.68
2015,Annual,36.8,0.59
2016,Annual,34.6,0.64
2017,Annual,34.1,0.61
2018,Annual,33.8,0.67
2019,Annual,33.6,0.69
2020,Annual,-(M),-(M)
2021,Annual,28.1,0.60
2022,Annual,27.5,0.61
2023,Annual,27.7,0.57
2024,Annual,28.9,0.68
2025,Annual,29.3,0.83
