 Data extracted on: June 25, 2026 (10:08:00 AM)

American Time Use


Series Id:        TUU30105AA01005514

Not seasonally adjusted
Series Title:     Percent participating on an avg day - Attending or hosting social events
Type of estimate: Percent of population engaged in activity on an average day
Activity:         Attending or hosting social events
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,3.4,0.14
2004,Annual,3.5,0.20
2005,Annual,2.9,0.18
2006,Annual,3.1,0.18
2007,Annual,2.9,0.17
2008,Annual,2.3,0.14
2009,Annual,2.4,0.15
2010,Annual,2.6,0.16
2011,Annual,2.6,0.15
2012,Annual,3.0,0.18
2013,Annual,2.2,0.16
2014,Annual,2.2,0.15
2015,Annual,2.1,0.15
2016,Annual,2.3,0.18
2017,Annual,2.6,0.24
2018,Annual,2.1,0.18
2019,Annual,2.0,0.17
2020,Annual,-(M),-(M)
2021,Annual,1.4,0.14
2022,Annual,1.8,0.15
2023,Annual,2.2,0.18
2024,Annual,1.7,0.16
2025,Annual,2.0,0.21
