 Data extracted on: June 25, 2026 (10:08:33 AM)

American Time Use


Series Id:        TUU30105AA01005658

Not seasonally adjusted
Series Title:     Percent participating on an avg day - Relaxing and thinking
Type of estimate: Percent of population engaged in activity on an average day
Activity:         Relaxing and thinking
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,23.7,0.37
2004,Annual,21.0,0.42
2005,Annual,22.5,0.47
2006,Annual,21.6,0.48
2007,Annual,20.4,0.48
2008,Annual,19.9,0.39
2009,Annual,19.2,0.45
2010,Annual,19.1,0.48
2011,Annual,18.8,0.51
2012,Annual,18.4,0.49
2013,Annual,19.0,0.51
2014,Annual,18.9,0.45
2015,Annual,19.8,0.49
2016,Annual,20.4,0.50
2017,Annual,20.6,0.51
2018,Annual,20.1,0.56
2019,Annual,18.8,0.58
2020,Annual,-(M),-(M)
2021,Annual,21.8,0.52
2022,Annual,21.6,0.54
2023,Annual,21.2,0.63
2024,Annual,20.6,0.61
2025,Annual,20.2,0.67
