 Data extracted on: June 25, 2026 (10:09:08 AM)

American Time Use


Series Id:        TUU30105AA01005910

Not seasonally adjusted
Series Title:     Percent participating on an avg day - Playing games
Type of estimate: Percent of population engaged in activity on an average day
Activity:         Playing games
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,7.8,0.26
2004,Annual,8.3,0.28
2005,Annual,8.9,0.32
2006,Annual,8.6,0.28
2007,Annual,8.8,0.34
2008,Annual,9.0,0.33
2009,Annual,10.4,0.37
2010,Annual,9.4,0.34
2011,Annual,9.0,0.30
2012,Annual,9.5,0.36
2013,Annual,10.3,0.35
2014,Annual,10.3,0.36
2015,Annual,11.2,0.43
2016,Annual,11.2,0.41
2017,Annual,11.4,0.45
2018,Annual,11.3,0.42
2019,Annual,11.7,0.45
2020,Annual,-(M),-(M)
2021,Annual,14.0,0.45
2022,Annual,14.4,0.44
2023,Annual,14.7,0.47
2024,Annual,15.3,0.54
2025,Annual,15.3,0.65
