 Data extracted on: June 25, 2026 (10:09:47 AM)

American Time Use


Series Id:        TUU30105AA01006114

Not seasonally adjusted
Series Title:     Percent participating on an avg day - Computer use for leisure, excluding games
Type of estimate: Percent of population engaged in activity on an average day
Activity:         Computer use for leisure (excluding games)
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,8.2,0.23
2004,Annual,9.5,0.31
2005,Annual,9.2,0.32
2006,Annual,9.6,0.35
2007,Annual,9.8,0.37
2008,Annual,9.5,0.33
2009,Annual,10.9,0.42
2010,Annual,12.0,0.38
2011,Annual,13.7,0.43
2012,Annual,13.1,0.39
2013,Annual,13.4,0.42
2014,Annual,13.4,0.43
2015,Annual,13.0,0.44
2016,Annual,11.2,0.42
2017,Annual,12.7,0.46
2018,Annual,12.6,0.51
2019,Annual,13.3,0.49
2020,Annual,-(M),-(M)
2021,Annual,14.0,0.47
2022,Annual,13.5,0.51
2023,Annual,13.7,0.52
2024,Annual,13.0,0.52
2025,Annual,14.7,0.65
