Year,Period,Estimate,Standard Error
2003,Annual,26.3,0.33
2004,Annual,27.7,0.42
2005,Annual,27.0,0.46
2006,Annual,26.4,0.47
2007,Annual,24.9,0.47
2008,Annual,23.9,0.47
2009,Annual,24.2,0.44
2010,Annual,21.1,0.40
2011,Annual,20.0,0.44
2012,Annual,20.7,0.45
2013,Annual,20.5,0.40
2014,Annual,21.3,0.44
2015,Annual,21.1,0.45
2016,Annual,19.5,0.43
2017,Annual,18.7,0.47
2018,Annual,17.5,0.48
2019,Annual,18.0,0.47
2020,Annual,-(M),-(M)
2021,Annual,17.9,0.49
2022,Annual,16.7,0.51
2023,Annual,16.2,0.49
2024,Annual,16.1,0.44
