 Data extracted on: June 25, 2026 (10:11:12 AM)

American Time Use


Series Id:        TUU30105AA01006567

Not seasonally adjusted
Series Title:     Percent participating on an avg day - Arts and entertainment (other than sports)
Type of estimate: Percent of population engaged in activity on an average day
Activity:         Arts and entertainment (other than sports)
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,3.8,0.14
2004,Annual,4.2,0.20
2005,Annual,3.5,0.19
2006,Annual,3.6,0.22
2007,Annual,3.5,0.19
2008,Annual,3.2,0.20
2009,Annual,3.1,0.18
2010,Annual,3.0,0.19
2011,Annual,2.9,0.19
2012,Annual,3.1,0.21
2013,Annual,2.9,0.18
2014,Annual,3.0,0.19
2015,Annual,3.0,0.19
2016,Annual,2.8,0.17
2017,Annual,3.0,0.22
2018,Annual,3.3,0.22
2019,Annual,3.0,0.21
2020,Annual,-(M),-(M)
2021,Annual,1.5,0.14
2022,Annual,2.3,0.19
2023,Annual,2.2,0.20
2024,Annual,2.2,0.17
2025,Annual,2.3,0.23
