 Data extracted on: June 25, 2026 (10:11:59 AM)

American Time Use


Series Id:        TUU30105AA01014236

Not seasonally adjusted
Series Title:     Percent participating on an avg day - Watching TV
Type of estimate: Percent of population engaged in activity on an average day
Activity:         Watching TV
Type of Days:     All days
Age Group:        15 years and over


Year,Period,Estimate,Standard Error
2003,Annual,78.8,0.34
2004,Annual,80.6,0.40
2005,Annual,79.8,0.47
2006,Annual,79.5,0.46
2007,Annual,79.5,0.49
2008,Annual,80.9,0.46
2009,Annual,81.8,0.45
2010,Annual,79.4,0.51
2011,Annual,78.3,0.48
2012,Annual,80.1,0.48
2013,Annual,79.4,0.52
2014,Annual,79.9,0.51
2015,Annual,79.9,0.50
2016,Annual,79.1,0.56
2017,Annual,77.7,0.57
2018,Annual,78.4,0.61
2019,Annual,77.9,0.56
2020,Annual,-(M),-(M)
2021,Annual,78.0,0.60
2022,Annual,76.5,0.65
2023,Annual,73.7,0.65
2024,Annual,72.8,0.73
2025,Annual,74.3,0.72
