Year,Less than a high school diploma,High school graduates (no college),Some college or associate degree,Bachelor's degree and higher
2004,15.708193,25.1779474,29.406313,37.7272334
2005,15.3531919,24.0249411,27.6584535,38.4019102
2006,14.2036071,23.158912,28.8431877,37.3686352
2007,13.195269,23.1321039,24.0491476,36.110746
2008,11.3103143,22.8503611,23.7334412,33.9528889
2009,11.7676349,23.8617154,23.526002,33.1824529
2010,10.5972456,20.1861902,20.5478762,29.2305196
2011,9.1100261,18.1866061,19.0065601,29.4048991
2012,10.5382833,19.9823708,22.3399292,31.2005881
2013,11.2858915,17.6686882,21.6940193,30.0894586
2014,11.2943459,20.3976174,23.2768601,30.3825229
2015,10.1139905,19.8231035,22.2864092,31.1906393
2016,9.0225908,16.9020603,20.6393474,29.2560838
2017,8.5021851,17.1969303,18.2663734,27.9938173
2018,7.9977909,14.4389745,18.2539683,26.7869819
2019,8.7505506,13.6647821,16.8640636,28.7858326
2020,,,,
2021,7.0099742,13.5367249,17.4029451,26.4926434
2022,3.3471744,11.8667799,14.7850351,25.308498
