Year,Read in the last year,Percent,Source,Page
1982,Any book or magazine,84.1,Who Reads Literature (1990),20
1982,Literature,56.9,Reading on the Rise (2009),3
1982,Poetry,19.8,Who Reads Literature (1990),21
1985,Any book or magazine,85.6,Who Reads Literature (1990),20
1985,Literature,56,Who Reads Literature (1990),20
1985,Poetry,18.6,Who Reads Literature (1990),21
1992,Any book,60.9,How Do We Read (2020),18
1992,Literature,54,Reading on the Rise (2009),3
1992,Novels or short stories,52.1,How Do We Read (2020),18
1992,Poetry,17,How Do We Read (2020),18
1992,Plays,5.3,How Do We Read (2020),18
2002,Any book,56.6,How Do We Read (2020),18
2002,Literature,46.7,Reading on the Rise (2009),3
2002,Novels or short stories,45.1,How Do We Read (2020),18
2002,Poetry,12.1,How Do We Read (2020),18
2002,Plays,3.6,How Do We Read (2020),18
2008,Any book,54.3,How Do We Read (2020),18
2008,Literature,50.2,Reading on the Rise (2009),3
2008,Novels or short stories,47,How Do We Read (2020),18
2008,Poetry,8.3,How Do We Read (2020),18
2008,Plays,2.6,How Do We Read (2020),18
2012,Any book,54.6,How Do We Read (2020),18
2012,Literature,47,Humanities Indicators (2025),V-05a
2012,Novels or short stories,45.2,How Do We Read (2020),18
2012,Poetry,6.7,How Do We Read (2020),18
2012,Plays,2.9,How Do We Read (2020),18
2017,Any book,52.7,How Do We Read (2020),18
2017,Literature,44.2,Humanities Indicators (2025),V-05a
2017,Novels or short stories,41.8,How Do We Read (2020),18
2017,Poetry,11.7,How Do We Read (2020),18
2017,Plays,3.7,How Do We Read (2020),18
2022,Any book,48.5,"By All Means, the Arts (2025)",50
2022,Literature,40.1,Humanities Indicators (2025),V-05a
2022,Novels or short stories,37.6,"By All Means, the Arts (2025)",50
2022,Poetry,9.2,"By All Means, the Arts (2025)",50
2022,Plays,2.4,"By All Means, the Arts (2025)",50
