Year,Read in the last year,Percent
1982,Any book,86.0
1982,Literature,57.0
1982,Poetry,18.0
1985,Any book,86.0
1985,Literature,56.0
1985,Poetry,19.0
1992,Any book,60.9
1992,Literature,54.0
1992,Novels or short stories,52.1
1992,Poetry,18.4
1992,Plays,5.9
2002,Any book,56.6
2002,Literature,46.7
2002,Novels or short stories,45.1
2002,Poetry,12.1
2002,Plays,3.6
2008,Any book,54.3
2008,Literature,50.2
2008,Novels or short stories,47.0
2008,Poetry,8.3
2008,Plays,2.6
2012,Any book,54.6
2012,Literature,47.0
2012,Novels or short stories,45.2
2012,Poetry,6.7
2012,Plays,2.9
2017,Any book,52.7
2017,Literature,44.2
2017,Novels or short stories,41.8
2017,Poetry,11.7
2017,Plays,3.7
2022,Any book,48.5
2022,Literature,39.6
2022,Novels or short stories,37.6
2022,Poetry,9.2
2022,Plays,2.4
