Year,Read in the last year,Percent,Odds,Odds Ratio
1982,Any book,86.0,6.142857,1.0
1982,Literature,57.0,1.325581,1.0
1982,Poetry,18.0,0.219512,1.0
1985,Any book,86.0,6.142857,1.0
1985,Literature,56.0,1.272727,0.960128
1985,Poetry,19.0,0.234568,1.068587
1992,Any book,60.9,1.557545,0.253554
1992,Literature,54.0,1.173913,0.885584
1992,Poetry,18.4,0.22549,1.027233
1992,Novels or short stories,52.1,1.087683,1.0
1992,Plays,5.9,0.062699,1.0
2002,Any book,56.6,1.304147,0.212303
2002,Literature,46.7,0.876173,0.660972
2002,Poetry,12.1,0.137656,0.627102
2002,Novels or short stories,45.1,0.821494,0.75527
2002,Plays,3.6,0.037344,0.595612
2008,Any book,54.3,1.188184,0.193425
2008,Literature,50.2,1.008032,0.760445
2008,Poetry,8.3,0.090513,0.412335
2008,Novels or short stories,47.0,0.886792,0.815304
2008,Plays,2.6,0.026694,0.425747
2012,Any book,54.6,1.202643,0.195779
2012,Literature,47.0,0.886792,0.668984
2012,Poetry,6.7,0.071811,0.327141
2012,Novels or short stories,45.2,0.824818,0.758326
2012,Plays,2.9,0.029866,0.476339
2017,Any book,52.7,1.114165,0.181376
2017,Literature,44.2,0.792115,0.59756
2017,Poetry,11.7,0.132503,0.603624
2017,Novels or short stories,41.8,0.718213,0.660315
2017,Plays,3.7,0.038422,0.612792
2022,Any book,48.5,0.941748,0.153308
2022,Literature,39.6,0.655629,0.494597
2022,Poetry,9.2,0.101322,0.461576
2022,Novels or short stories,37.6,0.602564,0.553989
2022,Plays,2.4,0.02459,0.392192
